name,address,level,name_clean,is_thrombectomy_center,geocode,latitude,longitude,name_cleaned
Städtisches Klinikum Dresden StO Friedrichstadt,"Manitiusstraße 2, 01067 Dresden, Sachsen",Überregionale Stroke Unit,städtisches klinikum dresden sto friedrichstadt,True,"2, Manitiusstraße, Friedrichstadt, Altstadt, Dresden, Sachsen, 01067, Deutschland",51.0573263,13.7151557,städtisches klinikum dresden sto friedrichstadt
Universitätsklinikum Carl Gustav Carus,"Fetscherstr. 74, 01307 Dresden, Sachsen",Überregionale Comprehensive Stroke Unit,universitätsklinikum carl gustav carus,True,"Universitätsklinikum Carl Gustav Carus, 74, Fetscherstraße, Johannstadt-Nord, Johannstadt, Altstadt, Dresden, Sachsen, 01307, Deutschland",51.0565463,13.7825911,universitätsklinikum carl gustav carus
ELBLANDKLINIKUM Meißen,"Leitmeritzer Bogen 20, 01662 Meißen, Sachsen",Regionale Comprehensive Stroke Unit,elblandklinikum meißen,False,"Leitmeritzer Bogen, Bohnitzsch, Nassau, Meißen, Sachsen, 01662, Deutschland",51.1712976,13.5013353,elblandklinikum meißen
Sana Klinikum Niederlausitz gGmbH,"Krankenhausstr. 10, 01968 Senftenberg, Brandenburg",Regionale Stroke Unit,sana klinikum niederlausitz ggmbh,False,"10, Krankenhausstraße, Senftenberg - Zły Komorow, Oberspreewald-Lausitz - Górne Błota-Łužyca, Brandenburg, 01968, Deutschland",51.5275144,14.000257,sana klinikum niederlausitz ggmbh
Städtisches Klinikum Görlitz gGmbH,"Girbigsdorfer Str. 1-3, 02828 Görlitz, Sachsen",Regionale Stroke Unit,städtisches klinikum görlitz ggmbh,False,"Haus 1, 1-3, Girbigsdorfer Straße, Königshufen, Görlitz, Sachsen, 02828, Deutschland",51.1619671,14.9707099,städtisches klinikum görlitz ggmbh
Lausitzer Seenland Klinikum,"Maria-Grollmuß-Str. 10, 02977 Hoyerswerda, Sachsen",Regionale Comprehensive Stroke Unit,lausitzer seenland klinikum,False,"Lausitzer Seenland Klinikum, 10, Maria-Grollmuß-Straße, WK VIII, Kühnicht - Kinajcht, Hoyerswerda - Wojerecy, Bautzen - Budyšin, Sachsen, 02977, Deutschland",51.4420507,14.2724085,lausitzer seenland klinikum
Carl-Thiem-Klinikum Cottbus gGmbH,"Thiemstr. 111, 03048 Cottbus, Brandenburg",Überregionale Stroke Unit,carl-thiem-klinikum cottbus ggmbh,True,"111, Thiemstraße, Spremberger Vorstadt - Grodkojske pśedměsto, Spremberger Vorstadt, Cottbus - Chóśebuz, Brandenburg, 03048, Deutschland",51.7412386,14.3197683,carl-thiem-klinikum cottbus ggmbh
Universitätsklinikum Leipzig AöR,"Hohe Straße 16, 04103 Leipzig, Sachsen",Überregionale Stroke Unit,universitätsklinikum leipzig aör,True,"16, Hohe Straße, Zentrum-Süd, Mitte, Leipzig, Sachsen, 04107, Deutschland",51.3291724,12.3784626,universitätsklinikum leipzig aör
Klinikum St. Georg gGmbH,"Stauffacherweg 1a, 04129 Leipzig, Sachsen",Überregionale Stroke Unit,klinikum st georg ggmbh,False,"1a, Stauffacherweg, Eutritzsch, Nord, Leipzig, Sachsen, 04129, Deutschland",51.387661,12.3796142,klinikum st. georg ggmbh
Sächsisches Krankenhaus Altscherbitz,"Leipziger Str. 59, 04435 Schkeuditz, Sachsen",Regionale Stroke Unit,sächsisches krankenhaus altscherbitz,False,"59, Äußere Leipziger Straße, Modelwitz, Schkeuditz, Nordsachsen, Sachsen, 04435, Deutschland",51.3872436,12.2522969,sächsisches krankenhaus altscherbitz
